#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pOXA58_005078	NZ_CP027245.2	CP027245	70.509	41.3678	59	-	-	-	73	14
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb242_9	-	KY984045.1	9.284	35.6097	15	-	-	-	6	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb242_12	-	KY984046.1	11.891	36.1786	13	-	-	-	6	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb242_25	-	KY984047.1	24.808	36.6011	22	-	-	-	20	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pK09-14	NZ_CP043954.1	CP043954	7.791	33.7184	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p74.1Kbp	NZ_CP035052.1	CP035052	74.091	33.6654	92	-	-	-	94	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p11.0Kbp	NZ_CP035053.1	CP035053	10.967	36.9199	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p107.0Kbp	NZ_CP035046.1	CP035046	106.963	42.6428	121	-	-	-	121	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p74.1Kbp	NZ_CP035047.1	CP035047	74.091	33.6667	92	-	-	-	94	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p10.9Kbp	NZ_CP035048.1	CP035048	10.945	36.9118	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p11.8Kbp	NZ_CP035050.1	CP035050	11.81	40.271	16	-	-	-	16	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP032741.1	CP032741	51.223	31.8763	21	-	-	-	56	35
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP032742.1	CP032742	28.674	34.8085	4	-	-	-	28	24
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCAM180A	NZ_CP044357.1	CP044357	92.034	40.4753	77	-	-	-	91	14
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCAM180B	NZ_CP044358.1	CP044358	16.096	35.6362	22	-	-	-	24	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_001	NZ_CP042557.1	CP042557	327.867	40.84	300	-	-	-	325	25
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_002	NZ_CP042558.1	CP042558	59.744	37.5251	48	-	-	-	60	12
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_003	NZ_CP042559.1	CP042559	8.795	34.1444	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_004	NZ_CP042560.1	CP042560	7.703	37.1544	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_005	NZ_CP042561.1	CP042561	5.234	34.295	6	-	-	-	6	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_006	NZ_CP042562.1	CP042562	5.039	38.3608	6	-	-	-	6	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_007	NZ_CP042563.1	CP042563	4.715	39.2365	5	-	-	-	6	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_008	NZ_CP042564.1	CP042564	3.065	38.1729	3	-	-	-	3	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pE47_009	NZ_CP042565.1	CP042565	2.427	37.124	1	-	-	-	2	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAba7835a	NZ_CP033244.1	CP033244	8.536	33.88	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAba7835b	NZ_CP033245.1	CP033245	80.548	34.1796	94	-	-	-	94	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CM018764.1	CM018764	44.48	39.0805	42	-	-	-	42	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP046537.1	CP046537	112.007	40.743	113	-	1	-	117	3
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pMAC	NZ_CP046655.1	CP046655	9.54	34.6751	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAB1	NZ_CP049364.1	CP049364	21.761	35.8026	21	-	-	-	35	14
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAB2	NZ_CP049365.1	CP049365	8.031	34.0306	6	-	-	-	9	3
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pATCC19606-1	-	AP022837.1	9.408	34.7789	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pATCC19606-2	-	AP022838.1	7.631	33.4294	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP050912.1	CP050912	71.194	33.5674	90	-	-	-	90	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP050913.1	CP050913	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP050908.1	CP050908	110.967	41.6133	116	-	1	-	119	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP050909.1	CP050909	71.194	33.5674	90	-	-	-	90	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP050910.1	CP050910	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP050917.1	CP050917	71.194	33.5674	90	-	-	-	90	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP050918.1	CP050918	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP050905.1	CP050905	110.967	41.6133	116	-	1	-	119	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP050906.1	CP050906	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP050915.1	CP050915	92.021	34.4867	102	-	-	-	105	3
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_1	NZ_CP051870.1	CP051870	48.239	37.0758	49	-	-	-	50	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_2	NZ_CP051871.1	CP051871	8.495	33.3608	8	-	-	-	8	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_3	NZ_CP051872.1	CP051872	8.215	37.5654	11	-	-	-	13	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_4	NZ_CP051873.1	CP051873	6.619	36.9995	7	-	-	-	7	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-D10a-a_5	NZ_CP051874.1	CP051874	2.697	36.6333	5	-	-	-	5	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-B004d-c_1	NZ_CP051876.1	CP051876	48.239	37.0758	49	-	-	-	50	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-B004d-c_2	NZ_CP051877.1	CP051877	8.495	33.3608	8	-	-	-	8	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-B004d-c_3	NZ_CP051878.1	CP051878	8.215	37.5654	10	-	-	-	12	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-B004d-c_4	NZ_CP051879.1	CP051879	2.697	36.6333	5	-	-	-	5	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C63_1	NZ_CP051867.1	CP051867	81.353	41.1196	69	-	-	-	82	13
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C63_2	NZ_CP051868.1	CP051868	10.662	35.1623	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C102_1	NZ_CP051863.1	CP051863	90.089	40.2213	70	-	-	-	87	17
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C102_2	NZ_CP051864.1	CP051864	67.097	37.407	25	-	-	-	59	34
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAb-C102_3	NZ_CP051865.1	CP051865	19.853	37.0574	29	-	-	-	29	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB82_1	NZ_CP050386.1	CP050386	215.278	39.4072	193	-	-	-	223	30
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB82_2	NZ_CP050387.1	CP050387	7.54	34.6286	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2486_1	NZ_CP050404.1	CP050404	99.09	35.0237	111	-	-	-	117	6
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2486_2	NZ_CP050405.1	CP050405	14.906	35.5427	13	-	-	-	15	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2486_3	NZ_CP050406.1	CP050406	12.574	35.7166	13	-	-	-	13	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2486_4	NZ_CP050407.1	CP050407	5.679	36.0979	8	-	-	-	8	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2486_5	NZ_CP050408.1	CP050408	5.432	39.525	5	-	-	-	6	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2486_6	NZ_CP050409.1	CP050409	2.457	38.3394	2	-	-	-	3	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB7036_1	NZ_CP050524.1	CP050524	8.73	34.3757	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB7036_2	NZ_CP050525.1	CP050525	1.764	50.6803	-	-	-	-	-	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194122_1	NZ_CP050426.1	CP050426	150.385	40.4209	157	-	-	-	168	11
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194122_2	NZ_CP050427.1	CP050427	18.783	34.4833	19	-	-	-	21	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194122_3	NZ_CP050428.1	CP050428	7.695	33.8012	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194122_4	NZ_CP050429.1	CP050429	7.54	34.6817	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194122_5	NZ_CP050430.1	CP050430	2.762	35.6626	2	-	-	-	2	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194122_6	NZ_CP050431.1	CP050431	2.419	57.1724	-	1	-	-	1	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2107_1	NZ_CP051475.1	CP051475	8.731	34.3718	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2107_2	NZ_CP051476.1	CP051476	6.974	40.7514	13	-	-	-	15	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2107_3	NZ_CP051477.1	CP051477	3.432	39.5688	-	-	-	-	1	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2139_1	NZ_CP050527.1	CP050527	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2139_2	NZ_CP050528.1	CP050528	5.679	36.0803	8	-	-	-	8	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2139_3	NZ_CP050529.1	CP050529	2.682	56.264	-	-	-	-	-	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2200_1	NZ_CP050422.1	CP050422	8.731	34.3718	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2200_2	NZ_CP050423.1	CP050423	5.679	36.0803	8	-	-	-	8	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB11737_1	NZ_CP050392.1	CP050392	70.712	33.4441	90	-	-	-	90	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB11737_2	NZ_CP050393.1	CP050393	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB11737_3	NZ_CP050394.1	CP050394	3.383	37.3337	2	-	-	-	3	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB11737_4	NZ_CP050395.1	CP050395	2.673	38.3838	2	-	-	-	2	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB11737_5	NZ_CP050396.1	CP050396	1.359	59.3819	2	-	-	-	2	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB11737_6	NZ_CP050397.1	CP050397	1.025	36.5854	-	-	-	-	1	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB11737_7	NZ_CP050398.1	CP050398	0.607	29.3245	1	-	-	-	1	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB11737_8	NZ_CP050399.1	CP050399	0.359	32.5905	-	-	-	-	1	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM192696_1	NZ_CP050413.1	CP050413	70.098	33.4788	89	-	-	-	89	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM192696_2	NZ_CP050414.1	CP050414	8.732	34.3678	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM193665_1	NZ_CP050416.1	CP050416	150.385	40.4203	158	-	-	-	169	11
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM193665_2	NZ_CP050417.1	CP050417	52.509	39.4313	78	-	-	-	78	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM193665_3	NZ_CP050418.1	CP050418	18.783	34.4886	19	-	-	-	21	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM193665_4	NZ_CP050419.1	CP050419	7.54	34.6817	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM193665_5	NZ_CP050420.1	CP050420	2.762	35.6626	2	-	-	-	2	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB473_1	NZ_CP050389.1	CP050389	16.47	34.7662	14	-	-	-	16	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB2181	NZ_CP050402.1	CP050402	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM192235_1	NZ_CP050411.1	CP050411	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pVB723_1	NZ_CP050391.1	CP050391	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194229_1	NZ_CP050433.1	CP050433	226.394	40.3681	224	-	-	-	239	15
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194229_2	NZ_CP050434.1	CP050434	10.967	36.9199	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pPM194229_3	NZ_CP050435.1	CP050435	9.847	32.0605	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCUVET596	NZ_CP041149.1	CP041149	82.016	38.3303	64	-	-	-	75	11
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pABF9692	NZ_CP048828.1	CP048828	264.805	39.1647	226	-	-	-	255	29
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p13.0Kbp	NZ_CP035044.1	CP035044	12.952	36.6662	14	-	-	-	14	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p1ATCC19606	NZ_CP045108.1	CP045108	7.655	33.3899	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p2ATCC19606	NZ_CP045109.1	CP045109	9.54	34.6751	12	-	-	-	12	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pA1429c	NZ_CP046899.1	CP046899	205.113	38.3213	181	-	-	-	201	20
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pA1429b	NZ_CP046900.1	CP046900	19.147	34.6686	21	-	-	-	21	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pA1429a	NZ_CP046901.1	CP046901	7.852	33.7876	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p29FS20-1	NZ_CP044520.1	CP044520	66.277	46.1276	58	-	-	-	76	18
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p29FS20-2	NZ_CP044521.1	CP044521	12.731	39.6905	17	-	-	-	18	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p31FS3-2-1	NZ_CP044518.1	CP044518	6.099	37.9734	6	-	-	-	6	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	-	CP058626.1	8.731	34.3718	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP053216.1	CP053216	55.394	40.9304	58	-	-	-	67	9
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP053217.1	CP053217	3.968	36.6683	4	-	-	-	4	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	NZ_CP053219.1	CP053219	97.161	39.8977	83	-	-	-	112	29
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed2	NZ_CP053220.1	CP053220	63.65	43.1139	61	-	-	-	71	10
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed3	NZ_CP053221.1	CP053221	9.613	34.2973	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pOCU_Ac16a_1	NZ_AP023078.1	AP023078	73.028	34.5498	83	-	-	-	87	4
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pOCU_Ac16a_2	NZ_AP023079.1	AP023079	41.087	38.3163	44	-	-	-	45	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pOCU_Ac16a_3	NZ_AP023080.1	AP023080	13.096	34.1631	14	-	-	-	19	5
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pTP1A	NZ_CP056785.1	CP056785	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p1.36-1512	NZ_CP059387.1	CP059387	113.33	41.6412	117	-	1	-	129	11
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p2.36-1512	NZ_CP059388.1	CP059388	9.458	33.1888	8	-	-	-	9	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p3.36-1512	NZ_CP059389.1	CP059389	5.688	34.9156	9	-	-	-	10	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p4.36-1512	NZ_CP059390.1	CP059390	4.721	38.7206	6	-	-	-	6	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p2ZQ5	NZ_CM009043.2	CM009043	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p3ZQ5	NZ_CM009044.2	CM009044	6.032	36.3727	9	-	-	-	9	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p4ZQ5	NZ_CM009683.1	CM009683	2.725	37.7982	4	-	-	-	4	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	p17-84_OXA	NZ_CP059478.1	CP059478	108.715	39.6127	93	-	-	-	113	20
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pWP8-W18-ESBL-11_1	NZ_AP022239.1	AP022239	114.365	41.2854	119	-	1	-	123	3
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pWP8-W18-ESBL-11_2	NZ_AP022240.1	AP022240	10.735	42.4592	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	2	NZ_LT605060.1	LT605060	148.956	37.4829	148	-	-	-	152	4
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pB2_1	NZ_CP047974.1	-	103.751	42.121	96	-	1	-	102	5
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pB2_2	NZ_CP047975.1	-	100.072	43.6066	88	-	-	-	107	19
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pB2_3	NZ_CP047976.1	-	9.132	37.3084	13	-	-	-	13	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pDETAB1	-	CP047974.1	103.751	42.121	96	-	1	-	102	5
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pDETAB2	-	CP047975.1	100.072	43.6066	91	-	-	-	108	17
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pDETAB3	-	CP047976.1	9.132	37.3084	13	-	-	-	13	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP059042.1	CP059042	16.502	34.6019	15	-	-	-	20	5
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCFSAN093709	NZ_CP061518.1	CP061518	110.965	41.6176	116	-	1	-	119	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCFSAN093708	NZ_CP061520.1	CP061520	110.967	41.6169	116	-	1	-	119	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCFSAN093705	NZ_CP061526.1	CP061526	14.639	38.2471	15	-	-	-	15	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCFSAN093710_1	NZ_CP061515.1	CP061515	110.967	41.6169	116	-	1	-	119	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCFSAN093710_2	NZ_CP061516.1	CP061516	83.626	33.2684	106	-	-	-	108	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCFSAN093706	NZ_CP061524.1	CP061524	110.967	41.6169	116	-	1	-	119	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAZJ221E	-	CP061542.1	84.629	34.2448	36	-	-	-	99	63
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pCFSAN093707	NZ_CP061522.1	CP061522	110.964	41.618	116	-	1	-	119	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAC1633-1	NZ_CP059301.1	CP059301	174.292	38.2576	158	-	-	-	170	12
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAC1633-4	NZ_CP059302.1	CP059302	5.21	37.1401	7	-	-	-	7	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAC1633-2	NZ_CP059303.1	CP059303	12.651	36.2659	16	-	-	-	16	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAC1633-3	NZ_CP059304.1	CP059304	9.95	35.9196	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pABAUUSACASD_frag1	-	CP064293.1	13.499	39.2399	-	-	-	-	-	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pABAUUSACASD_frag2	-	CP064294.1	5.822	33.9746	-	-	-	-	-	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1774	NZ_CP062920.1	CP062920	113.139	41.518	116	-	1	-	119	2
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1836	NZ_CP062921.1	CP062921	72.831	34.5828	83	-	-	-	87	4
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamednovel_1	NZ_CP062922.1	CP062922	14.288	36.4992	12	-	-	-	13	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamednovel_2	NZ_CP062923.1	CP062923	5.242	37.7337	4	-	-	-	4	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamednovel_0	NZ_JADAIY010000264.1	-	2.279	39.8859	1	-	-	-	1	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamednovel_0	NZ_JADAJJ010000299.1	-	14.288	36.4992	12	-	-	-	13	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamednovel_0	NZ_JADAJL010000301.1	-	14.288	36.4992	12	-	-	-	13	1
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAbBAS-1.1	-	CP065393.1	72.518	40.3638	65	-	1	-	86	20
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAbBAS-1.2	-	CP065394.1	6.078	39.2563	6	-	-	-	6	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pTP3A	NZ_CP060014.1	CP060014	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pTP2A	NZ_CP060012.1	CP060012	8.731	34.3718	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAB17961-1	NZ_CP065433.1	CP065433	9.395	35.4125	13	-	-	-	13	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pAB17961-2	NZ_CP065434.1	CP065434	6.667	33.3433	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed	NZ_CP066017.1	CP066017	10.308	33.7699	13	-	-	-	13	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	unnamed1	-	CP065886.1	9.54	34.6751	12	-	-	-	12	-
